,高雄時間,同意票,不同意票,同意比例,有效票,無效票,投票人數,已開投票所投票人總數,投票率,應送行政區,已送行政區,應送開票所,已送開票所,行政區
1539,2020-06-06 17:31:31,24387,625,25.67,25012,142,25154,60821,41.36,1,0,81,53,大寮區
1540,2020-06-06 17:31:31,53688,1378,41.43,55066,251,55317,126124,43.86,1,0,89,87,小港區
1541,2020-06-06 17:31:31,10658,295,44.49,10953,58,11011,23954,45.97,1,1,18,18,旗津區
1542,2020-06-06 17:31:31,25028,684,43.44,25712,194,25906,57617,44.96,1,1,51,51,林園區
1543,2020-06-06 17:31:31,57154,1516,37.72,58670,270,58940,140723,41.88,1,0,99,93,楠梓區
1544,2020-06-06 17:31:31,94039,2263,33.43,96302,461,96763,221292,43.73,1,0,189,153,三民區
1545,2020-06-06 17:31:31,17452,443,40.21,17895,96,17991,43397,41.46,1,1,42,42,新興區
1546,2020-06-06 17:31:31,9437,252,39.81,9689,47,9736,23704,41.07,1,1,22,22,前金區
1547,2020-06-06 17:31:31,66442,1768,42.24,68210,345,68555,156595,43.78,1,0,119,118,前鎮區
1548,2020-06-06 17:31:32,10618,306,41.88,10924,91,11015,25354,43.44,1,1,25,25,燕巢區
1549,2020-06-06 17:31:32,15318,389,42.88,15707,89,15796,35719,44.22,1,1,32,32,大樹區
1550,2020-06-06 17:31:32,10559,281,44.29,10840,70,10910,23841,45.76,1,1,21,21,阿蓮區
1551,2020-06-06 17:31:32,16662,412,42.76,17074,91,17165,38963,44.05,1,1,28,28,鳥松區
1552,2020-06-06 17:31:32,15763,497,48.39,16260,88,16348,31515,51.87,1,0,31,30,橋頭區
1553,2020-06-06 17:31:32,28761,800,36.35,29561,167,29728,71789,41.41,1,0,72,67,岡山區
1554,2020-06-06 17:31:32,2552,92,39.72,2644,21,2665,6425,41.48,1,1,12,12,田寮區
1555,2020-06-06 17:31:32,31963,869,43.21,32832,165,32997,72190,45.71,1,0,47,46,仁武區
1556,2020-06-06 17:31:32,13320,363,45.49,13683,89,13772,29282,47.03,1,1,24,24,大社區
1557,2020-06-06 17:31:33,18054,568,42.55,18622,111,18733,42432,44.15,1,1,41,41,路竹區
1558,2020-06-06 17:31:33,10929,369,43.55,11298,75,11373,25097,45.32,1,1,24,24,湖內區
1559,2020-06-06 17:31:33,4914,122,42.0,5036,23,5059,11699,43.24,1,1,12,12,永安區
1560,2020-06-06 17:31:33,10600,315,41.54,10915,59,10974,25515,43.01,1,1,21,21,茄萣區
1561,2020-06-06 17:31:34,11399,474,37.0,11873,78,11951,30807,38.79,1,1,35,35,旗山區
1562,2020-06-06 17:31:34,1223,56,23.41,1279,16,1295,5224,24.79,1,1,7,7,甲仙區
1563,2020-06-06 17:31:34,60,1,3.95,61,0,61,1520,4.01,1,1,3,3,茂林區
1564,2020-06-06 17:31:34,2733,121,26.69,2854,28,2882,10238,28.15,1,1,10,10,杉林區
1565,2020-06-06 17:31:34,6173,193,38.78,6366,48,6414,15918,40.29,1,1,18,18,彌陀區
1566,2020-06-06 17:31:34,3863,145,30.86,4008,56,4064,12517,32.47,1,1,18,18,內門區
1567,2020-06-06 17:31:34,2644,151,24.25,2795,35,2830,10198,27.75,1,0,12,11,六龜區
1568,2020-06-06 17:31:34,14032,404,46.35,14436,87,14523,30272,47.98,1,1,28,28,梓官區
1569,2020-06-06 17:31:34,201,24,6.01,225,2,227,3342,6.79,1,1,8,8,桃源區
1570,2020-06-06 17:31:34,9573,411,28.06,9984,86,10070,33458,30.1,1,0,32,31,美濃區
1571,2020-06-06 17:31:35,209,7,8.95,216,0,216,2334,9.25,1,1,4,4,那瑪夏區
1572,2020-06-06 17:32:25,54483,1356,34.46,55839,258,56097,150491,37.28,1,0,103,99,左營區
1573,2020-06-06 17:32:25,57154,1516,37.72,58670,270,58940,140723,41.88,1,0,99,93,楠梓區
1574,2020-06-06 17:32:25,831876,22387,36.17,854263,4600,858863,2048683,41.92,38,24,1823,1651,高雄市
1575,2020-06-06 17:32:25,9107,221,43.17,9328,57,9385,21094,44.49,1,1,24,24,鹽埕區
1576,2020-06-06 17:32:25,35002,791,30.86,35793,147,35940,88507,40.61,1,0,77,63,鼓山區
1577,2020-06-06 17:32:26,10658,295,44.49,10953,58,11011,23954,45.97,1,1,18,18,旗津區
1578,2020-06-06 17:32:26,25028,684,43.44,25712,194,25906,57617,44.96,1,1,51,51,林園區
1579,2020-06-06 17:32:26,16662,412,42.76,17074,91,17165,38963,44.05,1,1,28,28,鳥松區
1580,2020-06-06 17:32:26,15318,389,42.88,15707,89,15796,35719,44.22,1,1,32,32,大樹區
1581,2020-06-06 17:32:26,17452,443,40.21,17895,96,17991,43397,41.46,1,1,42,42,新興區
1582,2020-06-06 17:32:26,78844,2083,26.81,80927,420,81347,203077,40.06,1,0,228,162,鳳山區
1583,2020-06-06 17:32:26,54032,1342,37.86,55374,279,55653,135638,41.03,1,0,116,110,苓雅區
1584,2020-06-06 17:32:26,9437,252,39.81,9689,47,9736,23704,41.07,1,1,22,22,前金區
1585,2020-06-06 17:32:26,94039,2263,33.43,96302,461,96763,221292,43.73,1,0,189,153,三民區
1586,2020-06-06 17:32:26,24387,625,25.67,25012,142,25154,60821,41.36,1,0,81,53,大寮區
1587,2020-06-06 17:32:26,53688,1378,41.43,55066,251,55317,126124,43.86,1,0,89,87,小港區
1588,2020-06-06 17:32:26,31963,869,43.21,32832,165,32997,72190,45.71,1,0,47,46,仁武區
1589,2020-06-06 17:32:26,66442,1768,42.24,68210,345,68555,156595,43.78,1,0,119,118,前鎮區
1590,2020-06-06 17:32:26,28761,800,36.35,29561,167,29728,71789,41.41,1,0,72,67,岡山區
1591,2020-06-06 17:32:26,13320,363,45.49,13683,89,13772,29282,47.03,1,1,24,24,大社區
1592,2020-06-06 17:32:27,10618,306,41.88,10924,91,11015,25354,43.44,1,1,25,25,燕巢區
1593,2020-06-06 17:32:27,10600,315,41.54,10915,59,10974,25515,43.01,1,1,21,21,茄萣區
1594,2020-06-06 17:32:27,15763,497,48.39,16260,88,16348,31515,51.87,1,0,31,30,橋頭區
1595,2020-06-06 17:32:27,18054,568,42.55,18622,111,18733,42432,44.15,1,1,41,41,路竹區
1596,2020-06-06 17:32:27,6173,193,38.78,6366,48,6414,15918,40.29,1,1,18,18,彌陀區
1597,2020-06-06 17:32:27,2552,92,39.72,2644,21,2665,6425,41.48,1,1,12,12,田寮區
1598,2020-06-06 17:32:27,14032,404,46.35,14436,87,14523,30272,47.98,1,1,28,28,梓官區
1599,2020-06-06 17:32:27,10929,369,43.55,11298,75,11373,25097,45.32,1,1,24,24,湖內區
1600,2020-06-06 17:32:27,10559,281,44.29,10840,70,10910,23841,45.76,1,1,21,21,阿蓮區
1601,2020-06-06 17:32:27,4914,122,42.0,5036,23,5059,11699,43.24,1,1,12,12,永安區
1602,2020-06-06 17:32:28,201,24,6.01,225,2,227,3342,6.79,1,1,8,8,桃源區
1603,2020-06-06 17:32:28,2644,151,24.25,2795,35,2830,10198,27.75,1,0,12,11,六龜區
1604,2020-06-06 17:32:28,9573,411,28.06,9984,86,10070,33458,30.1,1,0,32,31,美濃區
1605,2020-06-06 17:32:28,1223,56,23.41,1279,16,1295,5224,24.79,1,1,7,7,甲仙區
1606,2020-06-06 17:32:28,3863,145,30.86,4008,56,4064,12517,32.47,1,1,18,18,內門區
1607,2020-06-06 17:32:28,11399,474,37.0,11873,78,11951,30807,38.79,1,1,35,35,旗山區
1608,2020-06-06 17:32:28,60,1,3.95,61,0,61,1520,4.01,1,1,3,3,茂林區
1609,2020-06-06 17:32:28,2733,121,26.69,2854,28,2882,10238,28.15,1,1,10,10,杉林區
1610,2020-06-06 17:32:28,209,7,8.95,216,0,216,2334,9.25,1,1,4,4,那瑪夏區
1611,2020-06-06 17:33:18,852593,22829,37.07,875422,4693,880115,2096698,41.98,38,28,1823,1685,高雄市
1612,2020-06-06 17:33:18,57732,1525,38.1,59257,270,59527,142309,41.83,1,0,99,94,楠梓區
1613,2020-06-06 17:33:18,55245,1366,34.94,56611,262,56873,152235,37.36,1,0,103,100,左營區
1614,2020-06-06 17:33:18,37814,847,33.34,38661,157,38818,95532,40.63,1,0,77,67,鼓山區
1615,2020-06-06 17:33:18,100676,2397,35.79,103073,484,103557,236534,43.78,1,0,189,163,三民區
1616,2020-06-06 17:33:18,9107,221,43.17,9328,57,9385,21094,44.49,1,1,24,24,鹽埕區
1617,2020-06-06 17:33:19,17452,443,40.21,17895,96,17991,43397,41.46,1,1,42,42,新興區
1618,2020-06-06 17:33:19,55515,1379,38.89,56894,287,57181,138975,41.14,1,0,116,113,苓雅區
1619,2020-06-06 17:33:19,66816,1779,42.48,68595,347,68942,157294,43.83,1,1,119,119,前鎮區
1620,2020-06-06 17:33:19,9437,252,39.81,9689,47,9736,23704,41.07,1,1,22,22,前金區
1621,2020-06-06 17:33:20,83250,2179,28.31,85429,442,85871,213514,40.22,1,0,228,170,鳳山區
1622,2020-06-06 17:33:20,25028,684,43.44,25712,194,25906,57617,44.96,1,1,51,51,林園區
1623,2020-06-06 17:33:20,10658,295,44.49,10953,58,11011,23954,45.97,1,1,18,18,旗津區
1624,2020-06-06 17:33:20,26501,674,27.9,27175,151,27326,65215,41.9,1,0,81,56,大寮區
1625,2020-06-06 17:33:20,53688,1378,41.43,55066,251,55317,126124,43.86,1,0,89,87,小港區
1626,2020-06-06 17:33:21,16662,412,42.76,17074,91,17165,38963,44.05,1,1,28,28,鳥松區
1627,2020-06-06 17:33:21,28761,800,36.35,29561,167,29728,71789,41.41,1,0,72,67,岡山區
1628,2020-06-06 17:33:21,15318,389,42.88,15707,89,15796,35719,44.22,1,1,32,32,大樹區
1629,2020-06-06 17:33:21,16254,507,49.89,16761,95,16856,32578,51.74,1,1,31,31,橋頭區
1630,2020-06-06 17:33:21,13320,363,45.49,13683,89,13772,29282,47.03,1,1,24,24,大社區
1631,2020-06-06 17:33:21,32787,886,44.32,33673,168,33841,73973,45.75,1,1,47,47,仁武區
1632,2020-06-06 17:33:21,2552,92,39.72,2644,21,2665,6425,41.48,1,1,12,12,田寮區
1633,2020-06-06 17:33:21,10618,306,41.88,10924,91,11015,25354,43.44,1,1,25,25,燕巢區
1634,2020-06-06 17:33:22,10559,281,44.29,10840,70,10910,23841,45.76,1,1,21,21,阿蓮區
1635,2020-06-06 17:33:22,18054,568,42.55,18622,111,18733,42432,44.15,1,1,41,41,路竹區
1636,2020-06-06 17:33:22,4914,122,42.0,5036,23,5059,11699,43.24,1,1,12,12,永安區
1637,2020-06-06 17:33:22,10600,315,41.54,10915,59,10974,25515,43.01,1,1,21,21,茄萣區
1638,2020-06-06 17:33:22,6173,193,38.78,6366,48,6414,15918,40.29,1,1,18,18,彌陀區
1639,2020-06-06 17:33:22,10929,369,43.55,11298,75,11373,25097,45.32,1,1,24,24,湖內區
1640,2020-06-06 17:33:23,14032,404,46.35,14436,87,14523,30272,47.98,1,1,28,28,梓官區
1641,2020-06-06 17:33:23,9573,411,28.06,9984,86,10070,33458,30.1,1,0,32,31,美濃區
1642,2020-06-06 17:33:23,11399,474,37.0,11873,78,11951,30807,38.79,1,1,35,35,旗山區
1643,2020-06-06 17:33:24,60,1,3.95,61,0,61,1520,4.01,1,1,3,3,茂林區
