,高雄時間,同意票,不同意票,同意比例,有效票,無效票,投票人數,已開投票所投票人總數,投票率,應送行政區,已送行政區,應送開票所,已送開票所,行政區
1644,2020-06-06 17:33:24,2880,164,26.41,3044,40,3084,10903,28.29,1,1,12,12,六龜區
1645,2020-06-06 17:33:24,1223,56,23.41,1279,16,1295,5224,24.79,1,1,7,7,甲仙區
1646,2020-06-06 17:33:24,2733,121,26.69,2854,28,2882,10238,28.15,1,1,10,10,杉林區
1647,2020-06-06 17:33:24,3863,145,30.86,4008,56,4064,12517,32.47,1,1,18,18,內門區
1648,2020-06-06 17:33:25,201,24,6.01,225,2,227,3342,6.79,1,1,8,8,桃源區
1649,2020-06-06 17:33:25,209,7,8.95,216,0,216,2334,9.25,1,1,4,4,那瑪夏區
1650,2020-06-06 17:34:15,57732,1525,38.1,59257,270,59527,142309,41.83,1,0,99,94,楠梓區
1651,2020-06-06 17:34:15,37814,847,33.34,38661,157,38818,95532,40.63,1,0,77,67,鼓山區
1652,2020-06-06 17:34:15,55245,1366,34.94,56611,262,56873,152235,37.36,1,0,103,100,左營區
1653,2020-06-06 17:34:15,9107,221,43.17,9328,57,9385,21094,44.49,1,1,24,24,鹽埕區
1654,2020-06-06 17:34:15,852593,22829,37.07,875422,4693,880115,2096698,41.98,38,28,1823,1685,高雄市
1655,2020-06-06 17:34:16,100676,2397,35.79,103073,484,103557,236534,43.78,1,0,189,163,三民區
1656,2020-06-06 17:34:16,9437,252,39.81,9689,47,9736,23704,41.07,1,1,22,22,前金區
1657,2020-06-06 17:34:16,83250,2179,28.31,85429,442,85871,213514,40.22,1,0,228,170,鳳山區
1658,2020-06-06 17:34:16,66816,1779,42.48,68595,347,68942,157294,43.83,1,1,119,119,前鎮區
1659,2020-06-06 17:34:16,10658,295,44.49,10953,58,11011,23954,45.97,1,1,18,18,旗津區
1660,2020-06-06 17:34:16,53688,1378,41.43,55066,251,55317,126124,43.86,1,0,89,87,小港區
1661,2020-06-06 17:34:16,55515,1379,38.89,56894,287,57181,138975,41.14,1,0,116,113,苓雅區
1662,2020-06-06 17:34:16,17452,443,40.21,17895,96,17991,43397,41.46,1,1,42,42,新興區
1663,2020-06-06 17:34:17,13320,363,45.49,13683,89,13772,29282,47.03,1,1,24,24,大社區
1664,2020-06-06 17:34:17,16662,412,42.76,17074,91,17165,38963,44.05,1,1,28,28,鳥松區
1665,2020-06-06 17:34:17,26501,674,27.9,27175,151,27326,65215,41.9,1,0,81,56,大寮區
1666,2020-06-06 17:34:17,25028,684,43.44,25712,194,25906,57617,44.96,1,1,51,51,林園區
1667,2020-06-06 17:34:17,32787,886,44.32,33673,168,33841,73973,45.75,1,1,47,47,仁武區
1668,2020-06-06 17:34:17,15318,389,42.88,15707,89,15796,35719,44.22,1,1,32,32,大樹區
1669,2020-06-06 17:34:18,10600,315,41.54,10915,59,10974,25515,43.01,1,1,21,21,茄萣區
1670,2020-06-06 17:34:18,2552,92,39.72,2644,21,2665,6425,41.48,1,1,12,12,田寮區
1671,2020-06-06 17:34:18,10559,281,44.29,10840,70,10910,23841,45.76,1,1,21,21,阿蓮區
1672,2020-06-06 17:34:18,10618,306,41.88,10924,91,11015,25354,43.44,1,1,25,25,燕巢區
1673,2020-06-06 17:34:18,18054,568,42.55,18622,111,18733,42432,44.15,1,1,41,41,路竹區
1674,2020-06-06 17:34:18,28761,800,36.35,29561,167,29728,71789,41.41,1,0,72,67,岡山區
1675,2020-06-06 17:34:18,10929,369,43.55,11298,75,11373,25097,45.32,1,1,24,24,湖內區
1676,2020-06-06 17:34:18,16254,507,49.89,16761,95,16856,32578,51.74,1,1,31,31,橋頭區
1677,2020-06-06 17:34:19,14032,404,46.35,14436,87,14523,30272,47.98,1,1,28,28,梓官區
1678,2020-06-06 17:34:19,11399,474,37.0,11873,78,11951,30807,38.79,1,1,35,35,旗山區
1679,2020-06-06 17:34:19,2880,164,26.41,3044,40,3084,10903,28.29,1,1,12,12,六龜區
1680,2020-06-06 17:34:19,3863,145,30.86,4008,56,4064,12517,32.47,1,1,18,18,內門區
1681,2020-06-06 17:34:19,4914,122,42.0,5036,23,5059,11699,43.24,1,1,12,12,永安區
1682,2020-06-06 17:34:19,2733,121,26.69,2854,28,2882,10238,28.15,1,1,10,10,杉林區
1683,2020-06-06 17:34:19,1223,56,23.41,1279,16,1295,5224,24.79,1,1,7,7,甲仙區
1684,2020-06-06 17:34:19,6173,193,38.78,6366,48,6414,15918,40.29,1,1,18,18,彌陀區
1685,2020-06-06 17:34:19,9573,411,28.06,9984,86,10070,33458,30.1,1,0,32,31,美濃區
1686,2020-06-06 17:34:20,201,24,6.01,225,2,227,3342,6.79,1,1,8,8,桃源區
1687,2020-06-06 17:34:20,209,7,8.95,216,0,216,2334,9.25,1,1,4,4,那瑪夏區
1688,2020-06-06 17:34:20,60,1,3.95,61,0,61,1520,4.01,1,1,3,3,茂林區
1689,2020-06-06 17:35:10,9107,221,43.17,9328,57,9385,21094,44.49,1,1,24,24,鹽埕區
1690,2020-06-06 17:35:10,852593,22829,37.07,875422,4693,880115,2096698,41.98,38,28,1823,1685,高雄市
1691,2020-06-06 17:35:10,55245,1366,34.94,56611,262,56873,152235,37.36,1,0,103,100,左營區
1692,2020-06-06 17:35:10,37814,847,33.34,38661,157,38818,95532,40.63,1,0,77,67,鼓山區
1693,2020-06-06 17:35:11,13320,363,45.49,13683,89,13772,29282,47.03,1,1,24,24,大社區
1694,2020-06-06 17:35:11,55515,1379,38.89,56894,287,57181,138975,41.14,1,0,116,113,苓雅區
